Pos,Time,P ,GP ,GC ,CA ,CV ,%
1,Corinthians - SP ,81,71,31,64,2,71
2,Atlético - MG ,69,65,47,76,4,60
3,Grêmio - RS ,68,52,32,95,2,59
4,São Paulo - SP ,62,53,47,73,5,54
5,Internacional - RS ,60,39,38,101,6,52
6,Sport - PE ,59,53,38,72,2,51
7,Santos - SP ,58,59,41,79,9,50
8,Cruzeiro - MG ,55,44,35,89,5,48
9,Palmeiras - SP ,53,60,51,91,5,46
10,Atlético - PR ,51,43,48,87,7,44
11,Ponte Preta - SP ,51,41,40,99,5,44
12,Flamengo - RJ ,49,45,53,82,6,42
13,Fluminense - RJ ,47,40,49,98,10,41
14,Chapecoense - SC ,47,34,44,84,3,41
15,Coritiba - PR ,44,31,42,113,5,38
16,Figueirense - SC ,43,36,50,111,5,37
17,Avaí - SC ,42,38,60,119,3,36
18,Vasco da Gama - RJ ,41,28,54,108,14,35
19,Goiás - GO ,38,39,49,89,3,33
20,Joinville - SC ,31,26,48,94,8,27
